12-19-2014 20:37 (00:05) cchang5 2016383503020000   VT=No None
12-20-2014 09:29 (12:26) dbabbini 3414043503010001 1H|13C|31P Chloroform-d|Benzene-d6 VT=No None
12-21-2014 22:18 (11:50) dding2 2016733503020000 13C Chloroform-d VT=No None
12-22-2014 10:55 (00:20) klewis9 3406993503010001 1H|13C|Other DMSO|Other VT=No None
12-22-2014 11:06 (00:05) gliu3 3720133503010001 1H Chloroform-d VT=No None
12-22-2014 11:50 (00:07) tjarvis    VT=No None
12-22-2014 12:07 (00:10) klewis9 3406993503010001 1H|13C|Other Other VT=No None
12-22-2014 13:56 (00:10) klewis9 3406993503010001 1H|13C|Other Other VT=No None
12-22-2014 15:12 (00:29) lsun4 3500713112010001 1H DMSO VT= None
12-22-2014 15:35 (00:02) lsun4 3500713112010001 1H DMSO VT=No None
12-22-2014 15:58 (00:08) klewis9 3406993503010001 1H|Other Other VT=No None
12-23-2014 09:05 (00:06) jpontius    VT=No N2 Fill
12-23-2014 10:56 (00:54) ddicosmo 9999999150 1H|13C DMSO VT=No None
12-23-2014 13:04 (00:15) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
12-23-2014 13:39 (00:13) mnakata 2017733503020000 1H Chloroform-d|Other VT=No None
12-23-2014 16:37 (01:23) dbabbini 3414043503010001 1H|31P Chloroform-d|Benzene-d6 VT=78 None
12-26-2014 19:02 (00:17) dbabbini 3414043503010001 1H|31P|11B Benzene-d6 VT=No None
12-29-2014 07:41 (14:41) abastian 2022263503020000 1H|13C DMSO VT=No None
12-29-2014 09:39 (00:18) sbrown3 2018573503020000 1H Other VT=No None
12-29-2014 19:03 (00:17) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
12-30-2014 07:18 (11:44) abastian 2022263503020000 1H|13C DMSO VT=No None
12-30-2014 09:14 (00:08) jpontius    VT=No LN2 Fill
12-30-2014 16:55 (02:23) dbabbini 3414043503010001 1H|13C|31P Chloroform-d|Benzene-d6|DMSO VT=No None
12-31-2014 11:22 (00:09) lwoods4 2016383503020000 1H Chloroform-d VT=No None
12-31-2014 12:24 (00:07) lwoods4 2016383503020000 1H Chloroform-d VT=No None
12-31-2014 13:53 (00:23) lwoods4 2016383503020000 1H Chloroform-d VT=No None
12-31-2014 15:33 (00:45) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-02-2015 11:17 (00:06) svilanov 3414043503010001 1H|31P Benzene-d6 VT=No None
01-02-2015 11:54 (00:00) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-02-2015 12:57 (00:24) mgrigalu 2018973503020000 1H|13C Chloroform-d VT=No None
01-02-2015 14:33 (00:27) gliu3 3720133503010001 1H|13C DMSO VT=No None
01-02-2015 15:06 (00:22) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-02-2015 15:14 (00:07) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-03-2015 12:28 (00:11) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-03-2015 19:31 (05:09) lsun4 3500713112010001 1H DMSO VT=60 None
01-04-2015 21:51 (04:00) lsun4 3500713112010001 1H DMSO VT=25 None
01-05-2015 10:25 (00:31) mbastian 2616793503020000 1H|13C DMSO VT=No None
01-05-2015 11:10 (00:18) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-05-2015 11:27 (00:02) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-05-2015 14:29 (00:18) mhoffbau 3414043503010001 1H|31P Chloroform-d VT=No None
01-05-2015 14:55 (00:24) mbastian 2616793503020000 1H|13C DMSO VT=No None
01-05-2015 14:59 (00:03) dbabbini    VT=No None
01-05-2015 16:18 (00:44) mgrigalu 2018973503020000 1H|13C Chloroform-d VT=No None
01-05-2015 20:28 (02:27) lsun4 3500713112010001 1H DMSO VT=10 None
01-05-2015 20:30  lsun4 3500713112010001 1H DMSO VT=No None
01-06-2015 08:55 (00:15) jpontius    VT=No LN2 Fill
01-06-2015 14:56 (06:00) abastian 2022263503020000 1H|13C DMSO VT=No None
01-06-2015 19:57 (04:47) lsun4 3500713112010001 1H DMSO VT=25 None
01-07-2015 08:56 (00:36) abastian 2022263503020000 1H|13C Chloroform-d|DMSO VT=No None
01-07-2015 11:42 (00:01) jpontius    VT=No None
01-07-2015 12:14 (00:07) jpontius    VT=No None
01-07-2015 12:30 (00:12) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-07-2015 12:59 (00:15) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-07-2015 13:07 (00:08) abastian 2022263503020000 1H DMSO VT=No None
01-07-2015 14:00 (00:28) jkessle2 3414043503010001 1H|13C Benzene-d6 VT=No None
01-07-2015 14:17 (00:16) gliu3 3720133503010001 1H DMSO VT=No None
01-07-2015 14:48 (00:04) bbarret8 3414043503010001 1H Benzene-d6 VT=No None
01-07-2015 15:30 (00:11) dbabbini 3414043503010001 1H|31P Chloroform-d VT=No None
01-07-2015 15:58 (00:20) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-07-2015 16:27 (00:27) jkessle2 3414043503010001 13C Benzene-d6 VT=No None
01-07-2015 17:04 (00:21) hwang11 2016733503020000 1H Chloroform-d|DMSO VT=No None
01-07-2015 20:41 (00:17) lwoods4 2016383503020000 1H Other VT=No None
01-08-2015 10:40 (00:35) lsun4 3500713112010001 1H DMSO VT=No None
01-08-2015 10:57 (00:09) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-08-2015 13:36 (02:38) abastian 2022263503020000 1H|13C DMSO VT=No None
01-08-2015 18:36 (03:08) lsun4 3500713112010001 1H DMSO VT=40 None
01-08-2015 18:40 (00:03) lsun4 3500713112010001 1H DMSO VT=40 None
01-09-2015 09:46 (00:16) jeberle 3406993503010001 1H Benzene-d6 VT=No None
01-09-2015 10:34 (00:14) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-09-2015 11:55 (00:18) jmeloche 2018953503020000 1H|13C Chloroform-d VT=No None
01-09-2015 13:38 (00:09) abastian 2022263503020000 1H|13C DMSO VT=No None
01-09-2015 14:17 (00:13) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-09-2015 15:20 (00:06) svilanov 3414043503010001 1H|31P Benzene-d6 VT= None
01-09-2015 15:47 (00:25) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-09-2015 16:15 (00:15) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-09-2015 17:01 (00:27) jkessle2 3414043503010001 1H|13C|31P Benzene-d6 VT=No None
01-09-2015 17:10 (00:07) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-09-2015 18:55 (01:24) dbabbini 3414043503010001 1H|13C|31P Benzene-d6 VT=No None
01-10-2015 08:05 (10:59) jmeloche 2018953503020000 13C Chloroform-d VT=No None
01-10-2015 19:09 (05:15) lsun4 3500713112010001 1H DMSO VT=70 None
01-10-2015 22:23 (00:05) cchang5    VT=No None
01-11-2015 09:55 (00:05) cchang5    VT=No None
01-11-2015 11:09 (00:10) hlu2 3414033503010001 1H Chloroform-d VT=No None
01-12-2015 10:07 (00:07) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-12-2015 10:43 (00:23) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-12-2015 11:32 (00:22) gkline 3414353101010001 1H Chloroform-d VT=No None
01-12-2015 11:38 (00:04) gliu3 3720133503010001 1H Other VT=No None
01-12-2015 11:56 (00:10) klewis9 3406993503010001 1H Chloroform-d|Other VT=No None
01-12-2015 12:24 (00:15) jcipress 2018573503020000 1H Chloroform-d VT=No None
01-12-2015 12:40 (00:04) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-12-2015 13:16 (00:10) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-12-2015 13:58 (00:31) lsun4 3500713112010001 1H DMSO VT=No None
01-12-2015 14:43 (00:06) cmeyer7 2018953503020000 1H Chloroform-d VT=No None
01-12-2015 15:37 (00:06) svilanov 3414043503010001 1H|31P Benzene-d6 VT=No None
01-12-2015 16:18 (00:08) gliu3 3720133503010001 1H Chloroform-d VT=No None
01-12-2015 16:26 (00:07) lwoods4 2016383503020000 1H Other VT=No None
01-12-2015 17:04 (00:23) dbabbini 3414043503010001 1H Chloroform-d VT=No None
01-12-2015 17:39 (00:11) abastian 2022263503020000 1H|13C DMSO VT=No None
01-12-2015 17:59 (00:14) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-12-2015 22:14 (00:33) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-13-2015 08:50 (00:01) jpontius    VT=No LN2 Fill
01-13-2015 09:02 (00:10) gliu3 3720133503010001 1H|13C Chloroform-d VT=No None
01-13-2015 14:51 (05:48) abastian 2022263503020000 1H|13C DMSO VT=No None
01-13-2015 20:42 (05:25) lsun4 3500713112010001 1H DMSO VT=40 None
01-14-2015 11:03 (00:08) rtiwari 2016593503020000 1H|Other Chloroform-d|Other VT=No None
01-14-2015 12:27 (00:21) mbastian 2616793503020000 1H|13C DMSO VT=No None
01-14-2015 12:43 (00:07) cmeyer7 2018953503020000 1H Chloroform-d VT=No None
01-14-2015 13:07  jpontius    VT=No None
01-14-2015 14:01 (00:52) jpontius  1H|13C Chloroform-d VT=No Training
01-14-2015 14:31 (00:12) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-14-2015 14:33 (00:01) mbastian 2616793503020000   VT=No None
01-14-2015 15:12 (00:06) gliu3 3720133503010001 1H Other VT=No None
01-14-2015 16:08 (00:09) svilanov 3414043503010001 1H|31P Benzene-d6 VT=No None
01-14-2015 16:39 (00:21) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-14-2015 17:35 (00:05) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-14-2015 18:18 (00:20) dbabbini 3414043503010001 1H|31P  VT=No None
01-15-2015 07:58 (00:08) tjarvis 2018923503020000 1H Chloroform-d VT=No None
01-15-2015 15:03 (06:07) lsun4 3500713112010001 1H DMSO VT=60 None
01-15-2015 16:36 (01:32) esperi 201673 13C DMSO VT=No None
01-15-2015 17:06 (00:13) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-16-2015 08:44 (15:16) dding2 2016733503020000 1H Chloroform-d VT=No None
01-16-2015 10:09 (00:12) esperi 201673 1H|13C Chloroform-d VT=No None
01-16-2015 12:57 (01:00) xwang33 383060 1H|13C Chloroform-d|DMSO VT=No None
01-16-2015 13:47 (00:40) jpontius  1H|13C Chloroform-d VT=No Training
01-16-2015 14:37 (00:22) lsun4 3500713112010001 1H DMSO VT=No None
